id,ra_deg,dec_deg,x,y,in_fov,major_arcsec,minor_arcsec,a_pix,b_pix,used
58,114.12208333333331,65.53055555555555,1150.2562644465347,756.9531178184674,True,,,,,False
59,114.12374999999999,65.60499999999999,1150.301754965789,1024.9645229701214,True,18.0,10.799999999999999,8.999999782200005,5.399999869320003,True
60,114.1245833333333,65.45555555555556,1143.9752618034267,487.0009013504018,True,17.0,13.600000000000001,8.499999794300004,6.799999835440005,True
61,114.1245833333333,65.65972222222223,1150.9254084023075,1221.9673889443961,True,72.0,43.199999999999996,35.99999912880002,21.59999947728001,True
62,114.1245833333333,65.68277777777779,1151.7101544563345,1304.9636199945844,True,74.0,29.6,36.99999910460002,14.79999964184001,True
63,114.13208333333333,65.52386111111112,1135.1146869561842,732.9958330678102,True,,,,,False
64,114.13291666666665,65.57997222222222,1135.8086671052642,934.998358432811,True,92.0,82.8,45.99999888680003,41.399998998120026,True
65,114.13708333333331,65.5941111111111,1130.0990193777664,985.9556460329186,True,2.0,1.2,0.9999999758000006,0.5999999854800003,True
66,114.13916666666665,65.47077777777778,1122.6987483028497,542.0068984182831,True,,,,,False
67,114.13958333333332,65.64411111111112,1128.1252912565967,1165.983148223111,True,155.0,139.5,77.49999812450004,69.74999831205004,True
68,114.14124999999999,65.513,1121.0628594298685,694.0296304139852,True,140.0,126.0,69.99999830600004,62.999998475400034,True
69,114.14208333333332,65.55355555555555,1121.240656406345,840.0346892353477,True,62.0,49.6,30.99999924980002,24.799999399840015,True
70,114.14833333333331,65.64325000000001,1115.1047305386942,1163.0101328266278,True,,,,,False
71,114.15124999999998,65.67352777777778,1111.851368441275,1272.0474424102638,True,10.0,7.0,4.999999879000003,3.499999915300002,True
72,114.15666666666665,65.59266666666666,1100.9181432509563,981.0416684490726,True,38.0,26.599999999999998,18.99999954020001,13.299999678140006,True
73,114.16041666666665,65.64097222222223,1097.0832791927492,1154.9886745536642,True,104.0,52.0,51.99999874160003,25.999999370800015,True
74,114.16541666666664,65.60288888888888,1088.2741858554102,1017.9704083102991,True,169.0,135.20000000000002,84.49999795510004,67.59999836408005,True
75,114.16874999999999,65.53733333333334,1080.9205310319542,782.0328607546206,True,70.0,63.0,34.99999915300002,31.499999237700017,True
76,114.17083333333332,65.62622222222221,1081.0759662627152,1102.047777556718,True,60.0,42.0,29.999999274000018,20.99999949180001,True
77,114.17416666666664,65.54424999999999,1073.1010690674382,807.0139071408549,True,22.0,19.8,10.999999733800006,9.899999760420005,True
78,114.17583333333332,65.66397222222223,1075.043657356742,1238.016565335188,True,19.0,7.6000000000000005,9.499999770100006,3.7999999080400024,True
